Ligand_name,Ligand_No,L_MF2_1,L_MF2_2,L_MF2_5,L_MF2_30,L_MF2_45,L_MF2_48,L_MF2_56,L_MF2_75,L_MF2_80,L_MF2_90,L_MF2_94,L_MF2_114,L_MF2_121,L_MF2_172,L_MF2_199,L_MF2_222,L_MF2_227,L_MF2_235,L_MF2_237,L_MF2_249,L_MF2_254,L_MF2_283,L_MF2_294,L_MF2_297,L_MF2_300,L_MF2_310,L_MF2_314,L_MF2_322,L_MF2_352,L_MF2_355,L_MF2_360,L_MF2_377,L_MF2_383,L_MF2_387,L_MF2_389,L_MF2_392,L_MF2_397,L_MF2_421,L_MF2_440,L_MF2_456,L_MF2_474,L_MF2_484,L_MF2_495,L_MF2_502,L_MF2_504,L_MF2_550,L_MF2_554,L_MF2_555,L_MF2_562,L_MF2_572,L_MF2_575,L_MF2_591,L_MF2_598,L_MF2_640,L_MF2_644,L_MF2_656,L_MF2_664,L_MF2_695,L_MF2_699,L_MF2_715,L_MF2_718,L_MF2_725,L_MF2_736,L_MF2_761,L_MF2_775,L_MF2_781,L_MF2_786,L_MF2_787,L_MF2_794,L_MF2_809,L_MF2_815,L_MF2_825,L_MF2_831,L_MF2_841,L_MF2_843,L_MF2_850,L_MF2_875,L_MF2_882,L_MF2_888,L_MF2_890,L_MF2_906,L_MF2_914,L_MF2_919,L_MF2_926,L_MF2_934,L_MF2_958,L_MF2_961,L_MF2_980,L_MF2_984,L_MF2_1010,L_MF2_1013,L_MF2_1017,L_MF2_1019,L_MF2_1028,L_MF2_1031,L_MF2_1039,L_MF2_1054,L_MF2_1055,L_MF2_1057,L_MF2_1060,L_MF2_1079,L_MF2_1087,L_MF2_1088,L_MF2_1145,L_MF2_1160,L_MF2_1170,L_MF2_1199,L_MF2_1210,L_MF2_1219,L_MF2_1222,L_MF2_1233,L_MF2_1234,L_MF2_1237,L_MF2_1260,L_MF2_1274,L_MF2_1279,L_MF2_1294,L_MF2_1325,L_MF2_1345,L_MF2_1347,L_MF2_1364,L_MF2_1365,L_MF2_1380,L_MF2_1391,L_MF2_1399,L_MF2_1407,L_MF2_1409,L_MF2_1410,L_MF2_1417,L_MF2_1425,L_MF2_1438,L_MF2_1444,L_MF2_1453,L_MF2_1460,L_MF2_1491,L_MF2_1523,L_MF2_1536,L_MF2_1570,L_MF2_1572,L_MF2_1582,L_MF2_1587,L_MF2_1600,L_MF2_1617,L_MF2_1630,L_MF2_1642,L_MF2_1645,L_MF2_1661,L_MF2_1662,L_MF2_1665,L_MF2_1670,L_MF2_1676,L_MF2_1683,L_MF2_1704,L_MF2_1722,L_MF2_1726,L_MF2_1743,L_MF2_1747,L_MF2_1750,L_MF2_1781,L_MF2_1804,L_MF2_1810,L_MF2_1813,L_MF2_1823,L_MF2_1842,L_MF2_1843,L_MF2_1855,L_MF2_1859,L_MF2_1868,L_MF2_1873,L_MF2_1911,L_MF2_1920,L_MF2_1922,L_MF2_1926,L_MF2_1928,L_MF2_1953,L_MF2_1970,L_MF2_1978,L_MF2_1980,L_MF2_1984,L_MF2_1999,L_MF2_2031,L_MF2_2045,Substrate_name,Substrate_No,S_MF2_2,S_MF2_9,S_MF2_90,S_MF2_105,S_MF2_114,S_MF2_225,S_MF2_235,S_MF2_242,S_MF2_293,S_MF2_314,S_MF2_322,S_MF2_352,S_MF2_389,S_MF2_490,S_MF2_493,S_MF2_517,S_MF2_556,S_MF2_617,S_MF2_619,S_MF2_642,S_MF2_650,S_MF2_684,S_MF2_695,S_MF2_699,S_MF2_707,S_MF2_718,S_MF2_751,S_MF2_781,S_MF2_798,S_MF2_807,S_MF2_831,S_MF2_841,S_MF2_890,S_MF2_892,S_MF2_926,S_MF2_974,S_MF2_984,S_MF2_1017,S_MF2_1019,S_MF2_1028,S_MF2_1038,S_MF2_1057,S_MF2_1071,S_MF2_1088,S_MF2_1121,S_MF2_1129,S_MF2_1199,S_MF2_1236,S_MF2_1325,S_MF2_1380,S_MF2_1384,S_MF2_1385,S_MF2_1387,S_MF2_1410,S_MF2_1453,S_MF2_1536,S_MF2_1564,S_MF2_1665,S_MF2_1670,S_MF2_1697,S_MF2_1708,S_MF2_1722,S_MF2_1738,S_MF2_1741,S_MF2_1750,S_MF2_1756,S_MF2_1775,S_MF2_1779,S_MF2_1820,S_MF2_1823,S_MF2_1865,S_MF2_1873,S_MF2_1917,S_MF2_1920,S_MF2_1928,S_MF2_1985,S_MF2_2007,Yield
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,benzophenone,1a,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,20
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,4'-dimethylbenzophenone",1b,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,9
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,4'-dimethoxybenzophenone",1c,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,7
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,4'-difluorobenzophenone",1d,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,18
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,acetophenone,1e,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,34
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,2,2-trifluoroacetophenone",1f,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,89
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cyclohexyl_phenyl_ketone,1g,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,5
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,alpha-tetralone,1h,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,beta-tetralone,1i,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,85
dppm,L1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dicyclohexyl_ketone,1j,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
