Ligand_name,Ligand_No,L_mordred_PC_0,L_mordred_PC_1,L_mordred_PC_2,L_mordred_PC_3,L_mordred_PC_4,L_mordred_PC_5,L_mordred_PC_6,Substrate_name,Substrate_No,S_mordred_PC_0,S_mordred_PC_1,S_mordred_PC_2,S_mordred_PC_3,Yield
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,20
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,9
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,7
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,18
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,34
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,89
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,5
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,3
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,85
dppm,L1,-0.03314584705521029,0.4030491500174834,-5.5217472418937685,-2.631316727722883,2.544792296733944,-9.512830881121953,-1.7229688934877863,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,0
dppe,L2,0.6136624411603089,0.5309637021682577,-5.017822444935556,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,3
dppe,L2,0.6136624411603089,0.5309637021682577,-5.017822444935556,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,2
dppe,L2,0.6136624411603089,0.5309637021682577,-5.017822444935556,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,1
dppe,L2,0.6136624411603089,0.5309637021682577,-5.017822444935556,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,3
dppe,L2,0.6136624411603089,0.5309637021682577,-5.017822444935556,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,3
dppe,L2,0.6136624411603089,0.5309637021682577,-5.017822444935556,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,28
dppe,L2,0.6136624411603089,0.5309637021682577,-5.017822444935556,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,1
dppe,L2,0.6136624411603089,0.5309637021682577,-5.017822444935556,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,1
dppe,L2,0.6136624411603089,0.5309637021682574,-5.017822444935555,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,31
dppe,L2,0.6136624411603089,0.5309637021682577,-5.017822444935556,-8.229681739919217,1.5262247998864686,-6.822516276507834,-4.251820849853688,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,0
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,5
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,1
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,1
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,3
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,3
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,"2,2,2-trifluoroacetophenone",1f,30.803234717728838,37.10484978457752,14.031181409764837,3.215412708452782,16
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,cyclohexyl_phenyl_ketone,1g,-7.659585934412124,-8.849565007430186,11.774728090563023,-2.8858797161316585,3
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,alpha-tetralone,1h,14.860634640253656,-12.871061944517157,-6.218081388223767,3.085786507010852,4
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,beta-tetralone,1i,13.963436549482278,-13.284601026863978,-8.718719772165839,1.6204668850602153,2
dppp,L3,0.8320059188098926,-1.0816940191123088,-6.43837953331047,-8.943919980671305,1.7127791695252996,-2.5968864203260416,-3.4066863151420796,dicyclohexyl_ketone,1j,-14.929179705109274,-17.054152359078774,26.18633408343153,6.3781734028731,0
dppb,L4,0.10491910840712451,-3.0734394166364796,-6.879613571282073,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,benzophenone,1a,-2.9527000640217924,-1.6961217281303163,0.5224716890894228,-12.49165420330552,93
dppb,L4,0.10491910840712451,-3.0734394166364796,-6.879613571282073,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,"4,4'-dimethylbenzophenone",1b,-17.955509511119054,3.3840298582778474,-2.3530617801951355,-10.414886088004545,90
dppb,L4,0.10491910840712451,-3.0734394166364796,-6.879613571282073,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,"4,4'-dimethoxybenzophenone",1c,-30.73991380133899,12.165785246418698,-13.099883356283248,15.49044473473317,95
dppb,L4,0.10491910840712451,-3.0734394166364796,-6.879613571282073,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,"4,4'-difluorobenzophenone",1d,-13.293241927230397,16.73835781202466,-10.608398932192001,-6.540067438473052,94
dppb,L4,0.10491910840712451,-3.0734394166364796,-6.879613571282073,-8.014877416094947,1.1616917038518577,-1.5337274547945463,-3.6324286552227876,acetophenone,1e,27.902825035766863,-15.637520635278316,-11.516570043788816,2.542203207784653,80
